SerialNo,Season,Name,Role,Price,Team
629,2018,Umesh Yadav,Bowler,42000000.0, Royal Challengers Bangalore
630,2018,Brendon McCullum,Batsman,36000000.0, Royal Challengers Bangalore
631,2018,M.S. Washington Sundar,All-Rounder,32000000.0, Royal Challengers Bangalore
632,2018,Navdeep Saini,Bowler,30000000.0, Royal Challengers Bangalore
633,2018,Quinton De Kock,Wicket Keeper,28000000.0, Royal Challengers Bangalore
634,2018,Mohammed Siraj,Bowler,26000000.0, Royal Challengers Bangalore
635,2018,Nathan Coulter-Nile,Bowler,22000000.0, Royal Challengers Bangalore
636,2018,Colin De Grandhomme,All-Rounder,22000000.0, Royal Challengers Bangalore
637,2018,M. Ashwin,Bowler,22000000.0, Royal Challengers Bangalore
638,2018,Parthiv Patel,Wicket Keeper,17000000.0, Royal Challengers Bangalore
639,2018,Moeen Ali,All-Rounder,17000000.0, Royal Challengers Bangalore
640,2018,Mandeep Singh,All-Rounder,14000000.0, Royal Challengers Bangalore
641,2018,Manan Vohra,Batsman,11000000.0, Royal Challengers Bangalore
642,2018,Pawan Negi,All-Rounder,10000000.0, Royal Challengers Bangalore
643,2018,Tim Southee,Bowler,10000000.0, Royal Challengers Bangalore
644,2018,Kulwant Khejroliya,Bowler,8500000.0, Royal Challengers Bangalore
645,2018,Aniket Choudhary,Bowler,3000000.0, Royal Challengers Bangalore
646,2018,Pavan Deshpande,All-Rounder,2000000.0, Royal Challengers Bangalore
647,2018,Anirudha Ashok Joshi,All-Rounder,2000000.0, Royal Challengers Bangalore
648,2018,Manish Pandey,Batsman,110000000.0, Sunrisers Hyderabad
649,2018,Rashid Khan Arman,Bowler,90000000.0, Sunrisers Hyderabad
650,2018,Shikhar Dhawan,Batsman,52000000.0, Sunrisers Hyderabad
651,2018,Wriddhiman Saha,Wicket Keeper,50000000.0, Sunrisers Hyderabad
652,2018,Siddarth Kaul,Bowler,38000000.0, Sunrisers Hyderabad
653,2018,Deepak Hooda,All-Rounder,36000000.0, Sunrisers Hyderabad
654,2018,Syed Khaleel Ahmed,Bowler,30000000.0, Sunrisers Hyderabad
655,2018,Sandeep Sharma,Bowler,30000000.0, Sunrisers Hyderabad
656,2018,Kane Williamson,Batsman,30000000.0, Sunrisers Hyderabad
657,2018,Carlos Brathwaite,All-Rounder,20000000.0, Sunrisers Hyderabad
658,2018,Shakib Al Hasan,All-Rounder,20000000.0, Sunrisers Hyderabad
659,2018,Yusuf Pathan,All-Rounder,19000000.0, Sunrisers Hyderabad
660,2018,Shreevats Goswami,Wicket Keeper,10000000.0, Sunrisers Hyderabad
661,2018,Mohammad Nabi,All-Rounder,10000000.0, Sunrisers Hyderabad
662,2018,Chris Jordan,All-Rounder,10000000.0, Sunrisers Hyderabad
663,2018,Basil Thampi,Bowler,9500000.0, Sunrisers Hyderabad
664,2018,Billy Stanlake,Batsman,5000000.0, Sunrisers Hyderabad
665,2018,T Natarajan,Bowler,4000000.0, Sunrisers Hyderabad
666,2018,Sachin Baby,Batsman,2000000.0, Sunrisers Hyderabad
667,2018,Bipul Sharma,All-Rounder,2000000.0, Sunrisers Hyderabad
668,2018,Syed Mehdi Hasan,All-Rounder,2000000.0, Sunrisers Hyderabad
669,2018,Ricky Bhui,Batsman,2000000.0, Sunrisers Hyderabad
670,2018,Tanmay Agarwal,Batsman,2000000.0, Sunrisers Hyderabad
671,2017,Jason Roy,Batsman,10000000.0,Gujarat Lions
672,2017,Basil Thampi,Bowler,8500000.0,Gujarat Lions
673,2017,Manpreet Gony,Bowler,6000000.0,Gujarat Lions
674,2017,Nathu Singh,Bowler,5000000.0,Gujarat Lions
675,2017,Munaf Patel,Bowler,3000000.0,Gujarat Lions
676,2017,Akshdeep Nath,All-Rounder,1000000.0,Gujarat Lions
677,2017,Shubam Agrawal,All-Rounder,1000000.0,Gujarat Lions
678,2017,Tejas Singh Baroka,Bowler,1000000.0,Gujarat Lions
679,2017,Chirag Suri,Batsman,1000000.0,Gujarat Lions
680,2017,Pratham Singh,All-Rounder,1000000.0,Gujarat Lions
681,2017,Shelley Shaurya,Bowler,1000000.0,Gujarat Lions
682,2017,T Natarajan,Bowler,30000000.0,Kings XI Punjab
683,2017,Varun Aaron,Bowler,28000000.0,Kings XI Punjab
684,2017,Eoin Morgan,Batsman,20000000.0,Kings XI Punjab
685,2017,Matt Henry,Bowler,5000000.0,Kings XI Punjab
686,2017,Martin Guptill,Batsman,5000000.0,Kings XI Punjab
687,2017,Darren Sammy,All-Rounder,3000000.0,Kings XI Punjab
688,2017,Rahul Tewatia,All-Rounder,2500000.0,Kings XI Punjab
689,2017,Rinku Singh,Batsman,1000000.0,Kings XI Punjab
690,2017,Trent Boult,Bowler,50000000.0,Kolkata Knight Riders
691,2017,Chris Woakes,All-Rounder,42000000.0,Kolkata Knight Riders
692,2017,Nathan Coulter-Nile,Bowler,35000000.0,Kolkata Knight Riders
693,2017,Rishi Dhawan,All-Rounder,5500000.0,Kolkata Knight Riders
694,2017,Darren Bravo,Batsman,5000000.0,Kolkata Knight Riders
695,2017,Rovman Powell,All-Rounder,3000000.0,Kolkata Knight Riders
696,2017,Sayan Ghosh,Bowler,1000000.0,Kolkata Knight Riders
697,2017,R. Sanjay Yadav,All-Rounder,1000000.0,Kolkata Knight Riders
698,2017,Ishank Jaggi,Batsman,1000000.0,Kolkata Knight Riders
699,2017,Karn Sharma,All-Rounder,32000000.0,Mumbai Indians
700,2017,Krishnappa Gowtham,All-Rounder,20000000.0,Mumbai Indians
701,2017,Mitchell Johnson,Bowler,20000000.0,Mumbai Indians
702,2017,Asela Gunarathna,Batsman,3000000.0,Mumbai Indians
